employee_name,employee_email,secret_santa_name,secret_santa_email
Hamish Murray,hamish.murray@acme.com,Charlie Ross,charlie.ross@acme.com
Layla Graham,layla.graham@acme.com,Benjamin Collins,benjamin.collins@acme.com
Matthew King,matthew.king@acme.com,Piper Stewart,piper.stewart@acme.com
Benjamin Collins,benjamin.collins@acme.com,Layla Graham,layla.graham@acme.com
Isabella Scott,isabella.scott@acme.com,Hamish Murray,hamish.murray.jr@acme.com
Charlie Ross,charlie.ross@acme.com,Charlie Wright,charlie.wright@acme.com
Hamish Murray,hamish.murray.sr@acme.com,Charlie Ross,charlie.ross.jr@acme.com
Piper Stewart,piper.stewart@acme.com,Hamish Murray,hamish.murray@acme.com
Spencer Allen,spencer.allen@acme.com,Isabella Scott,isabella.scott@acme.com
Charlie Wright,charlie.wright@acme.com,Matthew King,matthew.king.jr@acme.com
Hamish Murray,hamish.murray.jr@acme.com,Ethan Murray,ethan.murray@acme.com
Charlie Ross,charlie.ross.jr@acme.com,Mark Lawrence,mark.lawrence@acme.com
Ethan Murray,ethan.murray@acme.com,Spencer Allen,spencer.allen@acme.com
Matthew King,matthew.king.jr@acme.com,Hamish Murray,hamish.murray.sr@acme.com
Mark Lawrence,mark.lawrence@acme.com,Matthew King,matthew.king@acme.com
